ID,Marque,Nom
30130004,Intermarché,INTERMARCHE PONT SAINT ESPRIT
31310004,Total,SARL RIEUX ENERGIES
44300021,,
72300010,,
78310007,Total Access,RELAIS COIGNIERES
52100016,Total,RELAIS DU DER NORD
46330001,,
13122001,Total,MR L. DARET
52100018,,
52112001,CORA,CORA
75018014,Total,RELAIS SAINT OUEN BICHAT
33480002,Total,EOR CASTELNAU DE MED PUER
63230001,Total,TOTAL LA GOUTELLE
89190008,,
91180007,Total Access,RELAIS GRANDE FOLIE
38880002,Elan,ELAN
16220001,Intermarché,INTERMARCHE MONTBRON
63230002,Carrefour Market,Carrefour Market
9300008,,
73370001,Indépendant sans enseigne,SARL GARAGE MINIGGIO
59146002,Total Access,RELAIS DE PECQUENCOURT
81300006,,
76580002,CHAMPION,SA VALCAOR  CHAMPION
60120006,Total,RELAIS HARDIVILLERS
69970001,Leclerc,SODICHAP Centre Leclerc
51300013,Total Access,RELAIS DES MARVIS
13740003,,
30210007,,
45240001,Carrefour Market,Carrefour Market
27700005,Total,RELAIS NICOLAS POUSSIN
84000023,,
18190001,Intermarché Contact,INTERMARCHE CHATEAUNEUF SUR CHER
57260003,Avia,STATION DE LA SEILLE
67260009,,
68500003,Système U,SA FLORIDIS
14112001,Carrefour Contact,CARREFOUR CONTACT
14550001,Leclerc,E. LECLERC BLAINVILLE SUR ORNE
86580002,Carrefour Contact,carrefour contact
3500002,Carrefour Market,Carrefour Market
29430002,Intermarché,INTERMARCHE PLOUESCAT
60490009,,
